ALL,NON-FRAUD,FRAUD
FR,0.36223475103545166,0.36201496112318976,0.5181476846057572
NO,0.1369533088839017,0.13829826436230977,0.0012515644555694619
DK,0.08643056543872134,0.08720566016877326,0.0050062578222778474
DE,0.07938766945828088,0.08009359914507867,0.006257822277847309
US,0.075793238090025,0.0735711390352655,0.2327909887359199
GB,0.06765559143904976,0.06695655378265836,0.10638297872340426
SE,0.02941230134836791,0.029682721008217564,0.0012515644555694619
IT,0.02505154451073768,0.02529756421122453,0.0
CA,0.020417100005473754,0.019327854958175184,0.10262828535669587
BE,0.015052821719853303,0.015200648561005269,0.0
NL,0.013848595982265038,0.013984596676124847,0.0
AU,0.012096994909409383,0.01217894387736301,0.0050062578222778474
CH,0.010983998394365682,0.011091867192394148,0.0
AT,0.009925739412848723,0.010004790507425287,0.0012515644555694619
TR,0.007261846114547412,0.007333161366400118,0.0
PL,0.005200065685040232,0.005251133139256366,0.0
ES,0.0047439195723174045,0.004790507425286509,0.0
IE,0.004251281770576751,0.004293031654199064,0.0012515644555694619
KR,0.0031930227890597917,0.0031506798835538195,0.006257822277847309
BG,0.002444943164194355,0.0024689538268784315,0.0
FI,0.0023719597861587022,0.0023952537126432547,0.0
SI,0.0020070428959804406,0.002026753141467369,0.0
MT,0.0019705512069626142,0.0019899030843497805,0.0
IN,0.001715109383837831,0.001731952684526661,0.0
PT,0.001715109383837831,0.001731952684526661,0.0
ZA,0.0015873884722754394,0.0015845524560563068,0.0025031289111389237
LU,0.0014779134052219608,0.0014924273132623355,0.0
NZ,0.0014596675607130476,0.0014740022847035412,0.0012515644555694619
GR,0.0012224715820971775,0.0012160518848804217,0.0012515644555694619
IS,0.0010947506705347857,0.001105501713527656,0.0
MX,0.0009122922254456548,0.0009212514279397133,0.0
HU,0.0006568504023208714,0.0006633010281165936,0.0
CZ,0.0006386045578119584,0.0006448759995577993,0.0
TW,0.0005838670242852191,0.0005343258282050337,0.0037546933667083854
AE,0.0005108836462495666,0.0005159007996462394,0.0
MY,0.0004561461127228274,0.00046062571396985664,0.0
RO,0.000383162734687175,0.0003869255997346796,0.0
TH,0.000383162734687175,0.0003869255997346796,0.0
EE,0.0003649168901782619,0.0003685005711758853,0.0
CY,0.0003466710456693488,0.00035007554261709106,0.0
SG,0.0003466710456693488,0.00035007554261709106,0.0
HK,0.0003101793566515226,0.0003132254854995025,0.0
SK,0.00029193351214260954,0.00029480045694070826,0.0
JP,0.0002554418231247833,0.00023952537126432547,0.0012515644555694619
BN,0.00023719597861587025,0.00023952537126432547,0.0
HR,0.00023719597861587025,0.00023952537126432547,0.0
LV,0.00023719597861587025,0.00023952537126432547,0.0
BR,0.00020070428959804404,0.00020267531414673692,0.0
GP,0.00020070428959804404,0.00020267531414673692,0.0
RE,0.00020070428959804404,0.00020267531414673692,0.0
RU,0.00018245844508913095,0.00018425028558794265,0.0
CO,0.00016421260058021786,0.0001658252570291484,0.0
NC,0.00014596675607130477,0.00012897519991155986,0.0012515644555694619
IL,0.00014596675607130477,0.00014740022847035413,0.0
FO,0.00012772091156239165,0.00012897519991155986,0.0
TZ,0.00010947506705347856,0.0001105501713527656,0.0
GF,9.122922254456548e-05,9.212514279397133e-05,0.0
GU,7.298337803565239e-05,7.370011423517707e-05,0.0
AW,7.298337803565239e-05,7.370011423517707e-05,0.0
SA,7.298337803565239e-05,7.370011423517707e-05,0.0
BO,7.298337803565239e-05,7.370011423517707e-05,0.0
UA,7.298337803565239e-05,7.370011423517707e-05,0.0
SM,7.298337803565239e-05,7.370011423517707e-05,0.0
CN,5.473753352673928e-05,5.52750856763828e-05,0.0
PR,5.473753352673928e-05,5.52750856763828e-05,0.0
MC,5.473753352673928e-05,5.52750856763828e-05,0.0
NE,5.473753352673928e-05,5.52750856763828e-05,0.0
LB,5.473753352673928e-05,5.52750856763828e-05,0.0
QA,5.473753352673928e-05,5.52750856763828e-05,0.0
JM,5.473753352673928e-05,5.52750856763828e-05,0.0
MP,5.473753352673928e-05,5.52750856763828e-05,0.0
LI,5.473753352673928e-05,5.52750856763828e-05,0.0
VU,5.473753352673928e-05,5.52750856763828e-05,0.0
UM,5.473753352673928e-05,5.52750856763828e-05,0.0
CR,3.649168901782619e-05,3.685005711758853e-05,0.0
PA,3.649168901782619e-05,3.685005711758853e-05,0.0
GI,3.649168901782619e-05,3.685005711758853e-05,0.0
AS,3.649168901782619e-05,3.685005711758853e-05,0.0
DO,3.649168901782619e-05,3.685005711758853e-05,0.0
PF,3.649168901782619e-05,3.685005711758853e-05,0.0
PY,3.649168901782619e-05,3.685005711758853e-05,0.0
