date,cardID,merchantID,amount,currency,country,target
0,2016-01-01 00:00:00,21,25,0.7017448954402256,EUR,india,0
0,2016-01-01 00:00:00,24,24,0.5876696374362986,EUR,india,0
0,2016-01-01 00:00:00,53,17,0.4687595690858505,EUR,india,0
0,2016-01-01 00:00:00,74,7,0.12157652117912798,EUR,india,0
0,2016-01-01 00:00:00,75,1,0.10074773848947183,EUR,india,0
0,2016-01-01 00:00:00,78,8,0.6062369082013189,EUR,india,0
0,2016-01-01 00:00:00,91,17,0.5372794819315487,EUR,india,0
0,2016-01-01 00:00:00,96,26,0.27105339775075377,EUR,india,0
1,2016-01-01 01:00:00,10,4,0.5860938485063895,EUR,india,0
1,2016-01-01 01:00:00,16,1,0.6551569093159874,EUR,india,0
1,2016-01-01 01:00:00,53,13,0.23794954149817904,EUR,india,0
1,2016-01-01 01:00:00,66,21,0.012745105428496273,EUR,india,0
1,2016-01-01 01:00:00,84,21,0.18767634851712045,EUR,india,0
1,2016-01-01 01:00:00,85,26,0.10915255257099277,EUR,india,0
1,2016-01-01 01:00:00,87,11,0.20608091549688978,EUR,india,0
1,2016-01-01 01:00:00,94,7,0.7366017513674084,EUR,india,0
2,2016-01-01 02:00:00,0,27,0.8444786129331845,EUR,india,0
2,2016-01-01 02:00:00,13,6,0.7409125670591413,EUR,india,0
2,2016-01-01 02:00:00,17,26,0.01734264924805784,EUR,india,0
2,2016-01-01 02:00:00,44,7,0.6229612408163155,EUR,india,0
2,2016-01-01 02:00:00,57,7,0.1438522872441964,EUR,india,0
2,2016-01-01 02:00:00,76,5,0.4532986453688852,EUR,india,0
2,2016-01-01 02:00:00,95,6,0.5424869624871101,EUR,india,0
3,2016-01-01 03:00:00,9,15,0.2729093540225134,EUR,india,0
3,2016-01-01 03:00:00,10,7,0.9929043671219844,EUR,india,0
3,2016-01-01 03:00:00,30,0,0.9266440400855577,EUR,india,0
3,2016-01-01 03:00:00,35,15,0.004259989634989636,EUR,india,0
3,2016-01-01 03:00:00,53,20,0.4031409343360426,EUR,india,0
3,2016-01-01 03:00:00,55,10,0.3189327422248863,EUR,india,0
3,2016-01-01 03:00:00,82,25,0.5225291943484666,EUR,india,0
3,2016-01-01 03:00:00,89,7,0.29317684392820675,EUR,india,0
4,2016-01-01 04:00:00,49,27,0.7170987177842265,EUR,india,0
4,2016-01-01 04:00:00,71,8,0.13561974845104297,EUR,india,0
4,2016-01-01 04:00:00,79,8,0.20194133057087726,EUR,india,0
4,2016-01-01 04:00:00,82,8,0.7585932260876771,EUR,india,0
4,2016-01-01 04:00:00,87,16,0.3255589238982064,EUR,india,0
4,2016-01-01 04:00:00,91,22,0.6691219876508858,EUR,india,0
4,2016-01-01 04:00:00,99,7,0.061803302646810665,EUR,india,0
5,2016-01-01 05:00:00,14,18,0.3862642898748251,EUR,india,0
5,2016-01-01 05:00:00,23,15,0.051125853793788534,EUR,india,0
5,2016-01-01 05:00:00,45,14,0.0011732023951903647,EUR,india,0
5,2016-01-01 05:00:00,58,26,0.168481467010006,EUR,india,0
5,2016-01-01 05:00:00,63,11,0.2799684491727238,EUR,india,0
5,2016-01-01 05:00:00,66,14,0.22251858559275972,EUR,india,0
5,2016-01-01 05:00:00,91,9,0.5971142959611592,EUR,india,0
6,2016-01-01 06:00:00,9,25,0.4456828525325641,EUR,india,0
6,2016-01-01 06:00:00,11,20,0.4287486347815538,EUR,india,0
6,2016-01-01 06:00:00,13,7,0.7487466596126013,EUR,india,0
6,2016-01-01 06:00:00,24,25,0.31363560743643903,EUR,india,0
6,2016-01-01 06:00:00,49,9,0.42317890015518744,EUR,india,0
6,2016-01-01 06:00:00,81,8,0.700236384959299,EUR,india,0
6,2016-01-01 06:00:00,87,15,0.7690760806456838,EUR,india,0
7,2016-01-01 07:00:00,2,7,0.5882639524170334,EUR,india,0
7,2016-01-01 07:00:00,10,8,0.8523029458121633,EUR,india,0
7,2016-01-01 07:00:00,25,8,0.2889137770931105,EUR,india,0
7,2016-01-01 07:00:00,29,4,0.17308706001717877,EUR,india,0
